date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:54	91501/91501	---M-Z	200	added ('OK')	application/x-javascript	etag:%221656d-67f79e0d-866a7ea7e39764aa;gz%22	https://mentoriasouza.site/marmitas/js/notiflix-aio-2.6.0.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/notiflix-aio-2.6.0.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:54	5184/5184	---M-Z	200	added ('OK')	application/x-javascript	etag:%221440-67f79e0d-ef1149f5718c5506;gz%22	https://mentoriasouza.site/marmitas/js/webpack-pro.runtime.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/webpack-pro.runtime.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:55	5252/5252	---M-Z	200	added ('OK')	application/x-javascript	etag:%221484-67f79e0d-88f9c10ceeaf51bc;gz%22	https://mentoriasouza.site/marmitas/js/webpack.runtime.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/webpack.runtime.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:55	54824/54824	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d628-67f79e0d-3c20904e969fb067;gz%22	https://mentoriasouza.site/marmitas/js/frontend-modules.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/frontend-modules.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:55	4776/4776	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212a8-67f79e0d-9600ae0542f92e7a;gz%22	https://mentoriasouza.site/marmitas/js/hooks.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/hooks.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:56	9141/9141	---M-Z	200	added ('OK')	application/x-javascript	etag:%2223b5-67f79e0d-edb515573ab6fac4;gz%22	https://mentoriasouza.site/marmitas/js/i18n.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/i18n.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:56	21417/21417	---M-Z	200	added ('OK')	application/x-javascript	etag:%2253a9-67f79e0d-9f49ec3d05ab5749;gz%22	https://mentoriasouza.site/marmitas/js/frontend.min_1.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/frontend.min_1.js	(from https://mentoriasouza.site/marmitas/)
23:51:56	21464/21464	---M-Z	200	added ('OK')	application/x-javascript	etag:%2253d8-67f79e0d-f3471545966de58a;gz%22	https://mentoriasouza.site/marmitas/js/core.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/core.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:56	44127/44127	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ac5f-67f79e0d-2e5e14a89dbb1546;gz%22	https://mentoriasouza.site/marmitas/js/frontend.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/frontend.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:58	134630/134630	---M-Z	200	added ('OK')	application/x-javascript	etag:%2220de6-67f79e0d-c65f4a8bf293889e;gz%22	https://mentoriasouza.site/marmitas/js/preloaded-elements-handlers.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/preloaded-elements-handlers.min.js	(from https://mentoriasouza.site/marmitas/)
